==> exp1.02__0.07/edit_dist_dyn.tsv <==

2_alignments.dyn/1_reference/00000.fa	00000.fa	384506
2_alignments.dyn/1_reference/00001.fa	00001.fa	361706
2_alignments.dyn/1_reference/00002.fa	00002.fa	315564
2_alignments.dyn/1_reference/00003.fa	00003.fa	266523
2_alignments.dyn/1_reference/00004.fa	00004.fa	222934
2_alignments.dyn/1_reference/00005.fa	00005.fa	187772
2_alignments.dyn/1_reference/00006.fa	00006.fa	160731
2_alignments.dyn/1_reference/00007.fa	00007.fa	140583
2_alignments.dyn/1_reference/00008.fa	00008.fa	126105
2_alignments.dyn/1_reference/00009.fa	00009.fa	115550
2_alignments.dyn/1_reference/00010.fa	00010.fa	108257
2_alignments.dyn/1_reference/00011.fa	00011.fa	102986
2_alignments.dyn/1_reference/00012.fa	00012.fa	99219
2_alignments.dyn/1_reference/00013.fa	00013.fa	96434
2_alignments.dyn/1_reference/00014.fa	00014.fa	94544
2_alignments.dyn/1_reference/00015.fa	00015.fa	93153
2_alignments.dyn/1_reference/00016.fa	00016.fa	92195
2_alignments.dyn/1_reference/00017.fa	00017.fa	91451
2_alignments.dyn/1_reference/00018.fa	00018.fa	90896

==> exp1.02__0.07/updates.tsv <==

itref_sum	298354
2_alignments.dyn/1_reference/00018.fa	00018.fa	97950
2_alignments.dyn/1_reference/00019.fa	00019.fa	97687

==> exp1.09__0.07-bowtie2/updates.tsv <==

itref_sum	312825
dyn_sum	322897

2_alignments.dyn/5_vcf/00000.vcf.gz	18548
2_alignments.dyn/5_vcf/00001.vcf.gz	40401
2_alignments.dyn/5_vcf/00002.vcf.gz	46192
2_alignments.dyn/5_vcf/00003.vcf.gz	44977
2_alignments.dyn/5_vcf/00004.vcf.gz	38986
2_alignments.dyn/5_vcf/00005.vcf.gz	32499
2_alignments.dyn/5_vcf/00006.vcf.gz	25646
2_alignments.dyn/5_vcf/00007.vcf.gz	19503
2_alignments.dyn/5_vcf/00008.vcf.gz	14857
2_alignments.dyn/5_vcf/00009.vcf.gz	10809
2_alignments.dyn/5_vcf/00010.vcf.gz	8046
2_alignments.dyn/5_vcf/00011.vcf.gz	5919
2_alignments.dyn/5_vcf/00012.vcf.gz	4364
2_alignments.dyn/5_vcf/00013.vcf.gz	3182
2_alignments.dyn/5_vcf/00014.vcf.gz	2429
2_alignments.dyn/5_vcf/00015.vcf.gz	1872
2_alignments.dyn/5_vcf/00016.vcf.gz	1529
2_alignments.dyn/5_vcf/00017.vcf.gz	1279
2_alignments.dyn/5_vcf/00018.vcf.gz	1004
2_alignments.dyn/5_vcf/00019.vcf.gz	855

2_alignments.itref/5_vcf/00000.vcf.gz	298977
2_alignments.itref/5_vcf/00001.vcf.gz	8692
2_alignments.itref/5_vcf/00002.vcf.gz	2665
2_alignments.itref/5_vcf/00003.vcf.gz	1450
2_alignments.itref/5_vcf/00004.vcf.gz	1041


==> exp1.11__0.07-ococo16-noremap/edit_dist_dyn.tsv <==

2_alignments.dyn/1_reference/00000.fa	00000.fa	384506
2_alignments.dyn/1_reference/00001.fa	00001.fa	361706
2_alignments.dyn/1_reference/00002.fa	00002.fa	315667
2_alignments.dyn/1_reference/00003.fa	00003.fa	266996
2_alignments.dyn/1_reference/00004.fa	00004.fa	223847
2_alignments.dyn/1_reference/00005.fa	00005.fa	189051
2_alignments.dyn/1_reference/00006.fa	00006.fa	162262
2_alignments.dyn/1_reference/00007.fa	00007.fa	142233
2_alignments.dyn/1_reference/00008.fa	00008.fa	127806
2_alignments.dyn/1_reference/00009.fa	00009.fa	117321
2_alignments.dyn/1_reference/00010.fa	00010.fa	110081
2_alignments.dyn/1_reference/00011.fa	00011.fa	104829
2_alignments.dyn/1_reference/00012.fa	00012.fa	101036
2_alignments.dyn/1_reference/00013.fa	00013.fa	98256
2_alignments.dyn/1_reference/00014.fa	00014.fa	96330
2_alignments.dyn/1_reference/00015.fa	00015.fa	94921
2_alignments.dyn/1_reference/00016.fa	00016.fa	93959
2_alignments.dyn/1_reference/00017.fa	00017.fa	93240
2_alignments.dyn/1_reference/00018.fa	00018.fa	92699
2_alignments.dyn/1_reference/00019.fa	00019.fa	92269
2_alignments.dyn/1_reference/00020.fa	00020.fa	91949

==> exp1.11__0.07-ococo16-noremap/edit_dist_itref.tsv <==

2_alignments.itref/1_reference/00000.fa	00000.fa	384506
2_alignments.itref/1_reference/00001.fa	00001.fa	93644
2_alignments.itref/1_reference/00002.fa	00002.fa	91893
2_alignments.itref/1_reference/00003.fa	00003.fa	91062
2_alignments.itref/1_reference/00004.fa	00004.fa	90590
2_alignments.itref/1_reference/00005.fa	00005.fa	90275

==> exp1.11__0.07-ococo16-noremap/updates.tsv <==

itref_sum	298395
dyn_sum	303649

2_alignments.dyn/5_vcf/00000.vcf.gz	23286
2_alignments.dyn/5_vcf/00001.vcf.gz	47163
2_alignments.dyn/5_vcf/00002.vcf.gz	50112
2_alignments.dyn/5_vcf/00003.vcf.gz	44528
2_alignments.dyn/5_vcf/00004.vcf.gz	36055
2_alignments.dyn/5_vcf/00005.vcf.gz	27905
2_alignments.dyn/5_vcf/00006.vcf.gz	20989
2_alignments.dyn/5_vcf/00007.vcf.gz	15115
2_alignments.dyn/5_vcf/00008.vcf.gz	11051
2_alignments.dyn/5_vcf/00009.vcf.gz	7685
2_alignments.dyn/5_vcf/00010.vcf.gz	5627
2_alignments.dyn/5_vcf/00011.vcf.gz	4039
2_alignments.dyn/5_vcf/00012.vcf.gz	2991
2_alignments.dyn/5_vcf/00013.vcf.gz	2091
2_alignments.dyn/5_vcf/00014.vcf.gz	1537
2_alignments.dyn/5_vcf/00015.vcf.gz	1092
2_alignments.dyn/5_vcf/00016.vcf.gz	827
2_alignments.dyn/5_vcf/00017.vcf.gz	629
2_alignments.dyn/5_vcf/00018.vcf.gz	513
2_alignments.dyn/5_vcf/00019.vcf.gz	414

2_alignments.itref/5_vcf/00000.vcf.gz	294634
2_alignments.itref/5_vcf/00001.vcf.gz	2016
2_alignments.itref/5_vcf/00002.vcf.gz	894
2_alignments.itref/5_vcf/00003.vcf.gz	511
2_alignments.itref/5_vcf/00004.vcf.gz	340

